date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:53	576/576	---M--	200	added ('OK')	image/gif	etag:%2240707a-240-4806bd9a27000%22	http://maven.apache.org/plugins/maven-eclipse-plugin/images/icon_warning_sml.gif	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/images/icon_warning_sml.gif	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:53	990/990	---M--	200	added ('OK')	image/gif	etag:%22407079-3de-4806bd9a27000%22	http://maven.apache.org/plugins/maven-eclipse-plugin/images/icon_success_sml.gif	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/images/icon_success_sml.gif	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:53	606/606	---M--	200	added ('OK')	image/gif	etag:%22407078-25e-4806bd9a27000%22	http://maven.apache.org/plugins/maven-eclipse-plugin/images/icon_info_sml.gif	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/images/icon_info_sml.gif	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:54	15213/15213	---M--	200	added ('OK')	text/html	etag:%22406ef1-3b6d-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/index-2.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:54	207919/207919	---M--	200	added ('OK')	text/html	etag:%22406edb-32c2f-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/checkstyle.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/checkstyle.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:54	1017/1017	---M--	200	added ('OK')	text/html	etag:%22407005-3f9-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/cobertura/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/cobertura/index.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:54	16325/16325	---M--	200	added ('OK')	text/html	etag:%22406eeb-3fc5-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/cpd.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/cpd.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:55	1517/1517	---M--	200	added ('OK')	text/html	etag:%22406f16-5ed-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/apidocs/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/apidocs/index.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:55	21524/21524	---M--	200	added ('OK')	text/html	etag:%22406eff-5414-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/pmd.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/pmd.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:55	810/810	---M--	200	added ('OK')	text/html	etag:%22407126-32a-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/xref/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/xref/index.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:55	28471/28471	---M--	200	added ('OK')	text/html	etag:%22406f09-6f37-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/surefire-report.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/surefire-report.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:56	18004/18004	---M--	200	added ('OK')	text/html	etag:%22406f0a-4654-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/taglist.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/taglist.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:56	1522/1522	---M--	200	added ('OK')	text/html	etag:%2240708d-5f2-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/testapidocs/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/testapidocs/index.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:56	810/810	---M--	200	added ('OK')	text/html	etag:%224070f8-32a-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/xref-test/index.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/xref-test/index.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:56	9428/9428	---M--	200	added ('OK')	text/html	etag:%22406ed7-24d4-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/add-maven-repo-mojo.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/add-maven-repo-mojo.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:57	11302/11302	---M--	200	added ('OK')	text/html	etag:%22406ef0-2c26-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/help-mojo.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/help-mojo.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:57	8584/8584	---M--	200	added ('OK')	text/html	etag:%22406f07-2188-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/remove-cache-mojo.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/remove-cache-mojo.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:57	10229/10229	---M--	200	added ('OK')	text/html	etag:%224070f6-27f5-4806bd9a27000-gzip%22	http://maven.apache.org/plugins/maven-eclipse-plugin/trouble-shooting/jdk-being-used-is-different-than-expected.html	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/trouble-shooting/jdk-being-used-is-different-than-expected.html	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:58	11520/11520	---M--	404	error ('Not%20Found')	text/html	etag:%22909216-2d00-4a351cb758e00;4806b09e98ec0%22	http://maven.apache.org/plugins/maven-eclipse-plugin/examples/Multi%20Project%20Import/Export%20Plugin	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/examples/Multi%20Project%20Import/Export%20Plugin.49.delayed	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
12:30:58	279/279	---M--	200	added ('OK')	image/gif	etag:%22407071-117-4806bd9a27000%22	http://maven.apache.org/plugins/maven-eclipse-plugin/images/close.gif	D:/shared/MavenEclipsePlugin/maven.apache.org/plugins/maven-eclipse-plugin/images/close.gif	(from http://maven.apache.org/plugins/maven-eclipse-plugin/)
